Slope_Angle,Cohesion,Friction_Angle,Nail_Inclination,Nail_Length,Drillhole_Diameter,Factor_of_Safety
30,10,35,10,12,125,3.051
30,10,35,10,12,150,3.051
30,10,35,10,12,175,3.051
30,10,35,10,12,200,3.051
30,10,35,10,15,125,3.223
30,10,35,10,15,150,3.223
30,10,35,10,15,175,3.223
30,10,35,10,15,200,3.223
30,10,35,15,6,125,2.544
30,10,35,15,6,150,2.550
30,10,35,15,6,175,2.555
30,10,35,15,6,200,2.559
30,10,35,15,9,125,2.931
30,10,35,15,9,150,2.931
30,10,35,15,9,175,2.931
30,10,35,15,9,200,2.931
30,10,35,15,12,125,3.123
30,10,35,15,12,150,3.123
30,10,35,15,12,175,3.123
30,10,35,15,12,200,3.123
30,10,35,15,15,125,3.309
30,10,35,15,15,150,3.309
30,10,35,15,15,175,3.309
30,10,35,15,15,200,3.309
30,10,35,20,6,125,2.635
30,10,35,20,6,150,2.641
30,10,35,20,6,175,2.647
30,10,35,20,6,200,2.653
30,10,35,20,9,125,2.635
30,10,35,20,9,150,2.641
30,10,35,20,9,175,2.647
30,10,35,20,9,200,2.653
30,10,35,20,12,125,3.182
30,10,35,20,12,150,3.182
30,10,35,20,12,175,3.182
30,10,35,20,12,200,3.182
30,10,35,20,15,125,3.380
30,10,35,20,15,150,3.380
30,10,35,20,15,175,3.380
30,10,35,20,15,200,3.380
30,10,45,5,6,125,3.123
30,10,45,5,6,150,3.125
30,10,45,5,6,175,3.127
30,10,45,5,6,200,3.129
30,10,45,5,9,125,3.401
30,10,45,5,9,150,3.401
30,10,45,5,9,175,3.401
30,10,45,5,9,200,3.401
30,10,45,5,12,125,3.564
30,10,45,5,12,150,3.564
30,10,45,5,12,175,3.564
30,10,45,5,12,200,3.564
30,10,45,5,15,125,3.719
30,10,45,5,15,150,3.719
30,10,45,5,15,175,3.719
30,10,45,5,15,200,3.719
30,10,45,10,6,125,3.250
30,10,45,10,6,150,3.256
30,10,45,10,6,175,3.259
30,10,45,10,6,200,3.262
30,10,45,10,9,125,3.462
30,10,45,10,9,150,3.462
30,10,45,10,9,175,3.462
30,10,45,10,9,200,3.462
30,10,45,10,12,125,3.643
30,10,45,10,12,150,3.643
30,10,45,10,12,175,3.643
30,10,45,10,12,200,3.643
30,10,45,10,15,125,3.815
30,10,45,10,15,150,3.815
30,10,45,10,15,175,3.815
30,10,45,10,15,200,3.815
30,10,45,15,6,125,3.322
30,10,45,15,6,150,3.322
30,10,45,15,6,175,3.322
30,10,45,15,6,200,3.322
30,10,45,15,9,125,3.517
30,10,45,15,9,150,3.517
30,10,45,15,9,175,3.517
30,10,45,15,9,200,3.517
30,10,45,15,12,125,3.715
30,10,45,15,12,150,3.715
30,10,45,15,12,175,3.715
30,10,45,15,12,200,3.715
30,10,45,15,15,125,3.897
30,10,45,15,15,150,3.897
30,10,45,15,15,175,3.897
30,10,45,15,15,200,3.897
30,10,45,20,6,125,3.350
30,10,45,20,6,150,3.350
30,10,45,20,6,175,3.350
30,10,45,20,6,200,3.350
30,10,45,20,9,125,3.562
30,10,45,20,9,150,3.562
30,10,45,20,9,175,3.562
30,10,45,20,9,200,3.562
30,10,45,20,12,125,3.772
30,10,45,20,12,150,3.772
30,10,45,20,12,175,3.772
30,10,45,20,12,200,3.772
30,10,45,20,15,125,3.966
30,10,45,20,15,150,3.966
30,10,45,20,15,175,3.966
30,10,45,20,15,200,3.966
30,15,5,5,6,125,1.104
30,15,5,5,6,150,1.104
30,15,5,5,6,175,1.104
30,15,5,5,6,200,1.104
30,15,5,5,9,125,1.104
30,15,5,5,9,150,1.104
30,15,5,5,9,175,1.104
30,15,5,5,9,200,1.104
30,15,5,5,12,125,1.145
30,15,5,5,12,150,1.147
30,15,5,5,12,175,1.150
30,15,5,5,12,200,1.152
30,15,5,5,15,125,1.275
30,15,5,5,15,150,1.298
30,15,5,5,15,175,1.317
30,15,5,5,15,200,1.337
30,15,5,10,6,125,1.104
30,15,5,10,6,150,1.104
30,15,5,10,6,175,1.104
30,15,5,10,6,200,1.104
30,15,5,10,9,125,1.104
30,15,5,10,9,150,1.104
30,15,5,10,9,175,1.104
30,15,5,10,9,200,1.104
30,15,5,10,12,125,1.172
30,15,5,10,12,150,1.177
30,15,5,10,12,175,1.181
30,15,5,10,12,200,1.184
30,15,5,10,15,125,1.310
30,15,5,10,15,150,1.337
30,15,5,10,15,175,1.362
30,15,5,10,15,200,1.389
30,15,5,15,6,125,1.104
30,15,5,15,6,150,1.104
30,15,5,15,6,175,1.104
30,15,5,15,6,200,1.104
30,15,5,15,9,125,1.106
30,15,5,15,9,150,1.106
30,15,5,15,9,175,1.106
30,15,5,15,9,200,1.106
30,15,5,15,12,125,1.200
30,15,5,15,12,150,1.207
30,15,5,15,12,175,1.213
30,15,5,15,12,200,1.216
30,15,5,15,15,125,1.342
30,15,5,15,15,150,1.375
30,15,5,15,15,175,1.408
30,15,5,15,15,200,1.444
30,15,5,20,6,125,1.104
30,15,5,20,6,150,1.104
30,15,5,20,6,175,1.104
30,15,5,20,6,200,1.104
30,15,5,20,9,125,1.115
30,15,5,20,9,150,1.115
30,15,5,20,9,175,1.115
30,15,5,20,9,200,1.115
30,15,5,20,12,125,1.228
30,15,5,20,12,150,1.241
30,15,5,20,12,175,1.249
30,15,5,20,12,200,1.257
30,15,5,20,15,125,1.373
30,15,5,20,15,150,1.413
30,15,5,20,15,175,1.456
30,15,5,20,15,200,1.501
30,15,15,5,6,125,1.613
30,15,15,5,6,150,1.613
30,15,15,5,6,175,1.613
30,15,15,5,6,200,1.613
30,15,15,5,9,125,1.677
30,15,15,5,9,150,1.677
30,15,15,5,9,175,1.677
30,15,15,5,9,200,1.677
30,15,15,5,12,125,1.852
30,15,15,5,12,150,1.864
30,15,15,5,12,175,1.875
30,15,15,5,12,200,1.885
30,15,15,5,15,125,2.143
30,15,15,5,15,150,2.202
30,15,15,5,15,175,2.240
30,15,15,5,15,200,2.268
30,15,15,10,6,125,1.617
30,15,15,10,6,150,1.617
30,15,15,10,6,175,1.617
30,15,15,10,6,200,1.617
30,15,15,10,9,125,1.708
30,15,15,10,9,150,1.708
30,15,15,10,9,175,1.708
30,15,15,10,9,200,1.708
30,15,15,10,12,125,1.935
30,15,15,10,12,150,1.952
30,15,15,10,12,175,1.966
30,15,15,10,12,200,1.980
30,15,15,10,15,125,2.223
30,15,15,10,15,150,2.285
30,15,15,10,15,175,2.336
30,15,15,10,15,200,2.360
30,15,15,15,6,125,1.631
30,15,15,15,6,150,1.631
30,15,15,15,6,175,1.631
30,15,15,15,6,200,1.631
30,15,15,15,9,125,1.745
30,15,15,15,9,150,1.745
30,15,15,15,9,175,1.745
30,15,15,15,9,200,1.745
30,15,15,15,12,125,2.005
30,15,15,15,12,150,2.032
30,15,15,15,12,175,2.056
30,15,15,15,12,200,2.071
30,15,15,15,15,125,2.292
30,15,15,15,15,150,2.368
30,15,15,15,15,175,2.433
30,15,15,15,15,200,2.434
30,15,15,20,6,125,1.654
30,15,15,20,6,150,1.654
30,15,15,20,6,175,1.654
30,15,15,20,6,200,1.654
30,15,15,20,9,125,1.798
30,15,15,20,9,150,1.798
30,15,15,20,9,175,1.799
30,15,15,20,9,200,1.799
30,15,15,20,12,125,2.068
30,15,15,20,12,150,2.105
30,15,15,20,12,175,2.132
30,15,15,20,12,200,2.157
30,15,15,20,15,125,2.358
30,15,15,20,15,150,2.451
30,15,15,20,15,175,2.500
30,15,15,20,15,200,2.500
30,15,25,5,6,125,2.125
30,15,25,5,6,150,2.127
30,15,25,5,6,175,2.127
30,15,25,5,6,200,2.127
30,15,25,5,9,125,2.283
30,15,25,5,9,150,2.287
30,15,25,5,9,175,2.291
30,15,25,5,9,200,2.294
30,15,25,5,12,125,2.263
30,15,25,5,12,150,2.646
30,15,25,5,12,175,2.662
30,15,25,5,12,200,2.679
30,15,25,5,15,125,2.918
30,15,25,5,15,150,2.918
30,15,25,5,15,175,2.918
30,15,25,5,15,200,2.918
30,15,25,10,6,125,2.157
30,15,25,10,6,150,2.157
30,15,25,10,6,175,2.157
30,15,25,10,6,200,2.157
30,15,25,10,9,125,2.373
30,15,25,10,9,150,2.373
30,15,25,10,9,175,2.373
30,15,25,10,9,200,2.373
30,15,25,10,12,125,2.752
30,15,25,10,12,150,2.792
30,15,25,10,12,175,2.822
30,15,25,10,12,200,2.844
30,15,25,10,15,125,3.012
30,15,25,10,15,150,3.012
30,15,25,10,15,175,3.012
30,15,25,10,15,200,3.012
30,15,25,15,6,125,2.199
30,15,25,15,6,150,2.199
30,15,25,15,6,175,2.199
30,15,25,15,6,200,2.199
30,15,25,15,9,125,2.450
30,15,25,15,9,150,2.450
30,15,25,15,9,175,2.450
30,15,25,15,9,200,2.450
30,15,25,15,12,125,2.869
30,15,25,15,12,150,2.921
30,15,25,15,12,175,2.921
30,15,25,15,12,200,2.921
30,15,25,15,15,125,3.095
30,15,25,15,15,150,3.095
30,15,25,15,15,175,3.095
30,15,25,15,15,200,3.095
30,15,25,20,6,125,2.246
30,15,25,20,6,150,2.252
30,15,25,20,6,175,2.253
30,15,25,20,6,200,2.253
30,15,25,20,9,125,2.542
30,15,25,20,9,150,2.552
30,15,25,20,9,175,2.553
30,15,25,20,9,200,2.553
30,15,25,20,12,125,2.974
30,15,25,20,12,150,2.977
30,15,25,20,12,175,2.977
30,15,25,20,12,200,2.977
30,15,25,20,15,125,3.163
30,15,25,20,15,150,3.163
30,15,25,20,15,175,3.163
30,15,25,20,15,200,3.163
30,15,35,5,6,125,2.707
30,15,35,5,6,150,2.711
30,15,35,5,6,175,2.714
30,15,35,5,6,200,2.716
30,15,35,5,9,125,2.997
30,15,35,5,9,150,3.002
30,15,35,5,9,175,3.008
30,15,35,5,9,200,3.012
30,15,35,5,12,125,3.339
30,15,35,5,12,150,3.339
30,15,35,5,12,175,3.339
30,15,35,5,12,200,3.339
30,15,35,5,15,125,3.495
30,15,35,5,15,150,3.495
30,15,35,5,15,175,3.495
30,15,35,5,15,200,3.495
30,15,35,10,6,125,2.780
30,15,35,10,6,150,2.786
30,15,35,10,6,175,2.791
30,15,35,10,6,200,2.795
30,15,35,10,9,125,3.147
30,15,35,10,9,150,3.158
30,15,35,10,9,175,3.158
30,15,35,10,9,200,3.158
30,15,35,10,12,125,3.421
30,15,35,10,12,150,3.421
30,15,35,10,12,175,3.421
30,15,35,10,12,200,3.421
30,15,35,10,15,125,3.591
30,15,35,10,15,150,3.591
30,15,35,10,15,175,3.591
30,15,35,10,15,200,3.591
30,15,35,15,6,125,2.848
30,15,35,15,6,150,2.856
30,15,35,15,6,175,2.861
30,15,35,15,6,200,2.867
30,15,35,15,9,125,3.278
30,15,35,15,9,150,3.283
30,15,35,15,9,175,3.283
30,15,35,15,9,200,3.283
30,15,35,15,12,125,3.493
30,15,35,15,12,150,3.493
30,15,35,15,12,175,3.493
30,15,35,15,12,200,3.493
30,15,35,15,15,125,3.675
30,15,35,15,15,150,3.675
30,15,35,15,15,175,3.675
30,15,35,15,15,200,3.675
30,15,35,20,6,125,2.930
30,15,35,20,6,150,2.937
30,15,35,20,6,175,2.943
30,15,35,20,6,200,2.949
30,15,35,20,9,125,3.346
30,15,35,20,9,150,3.346
30,15,35,20,9,175,3.346
30,15,35,20,9,200,3.346
30,15,35,20,12,125,3.553
30,15,35,20,12,150,3.553
30,15,35,20,12,175,3.553
30,15,35,20,12,200,3.553
30,15,35,20,15,125,3.746
30,15,35,20,15,150,3.746
30,15,35,20,15,175,3.746
30,15,35,20,15,200,3.746
30,15,45,5,6,125,3.45
30,15,45,5,6,150,3.452
30,15,45,5,6,175,3.455
30,15,45,5,6,200,3.457
30,15,45,5,9,125,3.790
30,15,45,5,9,150,3.790
30,15,45,5,9,175,3.790
30,15,45,5,9,200,3.790
30,15,45,5,12,125,3.952
30,15,45,5,12,150,3.952
30,15,45,5,12,175,3.952
30,15,45,5,12,200,3.952
30,15,45,5,15,125,4.109
30,15,45,5,15,150,4.109
30,15,45,5,15,175,4.109
30,15,45,5,15,200,4.109
30,15,45,10,6,125,3.565
30,15,45,10,6,150,3.572
30,15,45,10,6,175,3.578
30,15,45,10,6,200,3.582
30,15,45,10,9,125,3.852
30,15,45,10,9,150,3.852
30,15,45,10,9,175,3.852
30,15,45,10,9,200,3.852
30,15,45,10,12,125,4.037
30,15,45,10,12,150,4.037
30,15,45,10,12,175,4.037
30,15,45,10,12,200,4.037
30,15,45,10,15,125,4.205
30,15,45,10,15,150,4.205
30,15,45,10,15,175,4.205
30,15,45,10,15,200,4.205
30,15,45,15,6,125,3.678
30,15,45,15,6,150,3.686
30,15,45,15,6,175,3.693
30,15,45,15,6,200,3.700
30,15,45,15,9,125,3.907
30,15,45,15,9,150,3.907
30,15,45,15,9,175,3.907
30,15,45,15,9,200,3.907
30,15,45,15,12,125,4.106
30,15,45,15,12,150,4.106
30,15,45,15,12,175,4.106
30,15,45,15,12,200,4.106
30,15,45,15,15,125,4.283
30,15,45,15,15,150,4.283
30,15,45,15,15,175,4.283
30,15,45,15,15,200,4.283
30,15,45,20,6,125,3.740
30,15,45,20,6,150,3.740
30,15,45,20,6,175,3.740
30,15,45,20,6,200,3.740
30,15,45,20,9,125,3.953
30,15,45,20,9,150,3.953
30,15,45,20,9,175,3.953
30,15,45,20,9,200,3.953
30,15,45,20,12,125,4.163
30,15,45,20,12,150,4.163
30,15,45,20,12,175,4.163
30,15,45,20,12,200,4.163
30,15,45,20,15,125,4.350
30,15,45,20,15,150,4.350
30,15,45,20,15,175,4.350
30,15,45,20,15,200,4.350
30,20,5,5,6,125,1.372
30,20,5,5,6,150,1.372
30,20,5,5,6,175,1.372
30,20,5,5,6,200,1.372
30,20,5,5,9,125,1.372
30,20,5,5,9,150,1.372
30,20,5,5,9,175,1.372
30,20,5,5,9,200,1.372
30,20,5,5,12,125,1.383
30,20,5,5,12,150,1.383
30,20,5,5,12,175,1.383
30,20,5,5,12,200,1.383
30,20,5,5,15,125,1.466
30,20,5,5,15,150,1.476
30,20,5,5,15,175,1.486
30,20,5,5,15,200,1.496
30,20,5,10,6,125,1.372
30,20,5,10,6,150,1.372
30,20,5,10,6,175,1.372
30,20,5,10,6,200,1.372
30,20,5,10,9,125,1.372
30,20,5,10,9,150,1.372
30,20,5,10,9,175,1.372
30,20,5,10,9,200,1.372
30,20,5,10,12,125,1.389
30,20,5,10,12,150,1.391
30,20,5,10,12,175,1.392
30,20,5,10,12,200,1.393
30,20,5,10,15,125,1.510
30,20,5,10,15,150,1.529
30,20,5,10,15,175,1.548
30,20,5,10,15,200,1.562
30,20,5,15,6,125,1.372
30,20,5,15,6,150,1.372
30,20,5,15,6,175,1.372
30,20,5,15,6,200,1.372
30,20,5,15,9,125,1.372
30,20,5,15,9,150,1.372
30,20,5,15,9,175,1.372
30,20,5,15,9,200,1.372
30,20,5,15,12,125,1.407
30,20,5,15,12,150,1.409
30,20,5,15,12,175,1.411
30,20,5,15,12,200,1.413
30,20,5,15,15,125,1.555
30,20,5,15,15,150,1.586
30,20,5,15,15,175,1.610
30,20,5,15,15,200,1.634
30,20,5,20,6,125,1.372
30,20,5,20,6,150,1.372
30,20,5,20,6,175,1.372
30,20,5,20,6,200,1.372
30,20,5,20,9,125,1.375
30,20,5,20,9,150,1.375
30,20,5,20,9,175,1.375
30,20,5,20,9,200,1.375
30,20,5,20,12,125,1.434
30,20,5,20,12,150,1.437
30,20,5,20,12,175,1.440
30,20,5,20,12,200,1.443
30,20,5,20,15,125,1.602
30,20,5,20,15,150,1.641
30,20,5,20,15,175,1.676
30,20,5,20,15,200,1.713
30,20,15,5,6,125,1.913
30,20,15,5,6,150,1.913
30,20,15,5,6,175,1.913
30,20,15,5,6,200,1.913
30,20,15,5,9,125,1.947
30,20,15,5,9,150,1.947
30,20,15,5,9,175,1.947
30,20,15,5,9,200,1.948
30,20,15,5,12,125,2.075
30,20,15,5,12,150,2.076
30,20,15,5,12,175,2.077
30,20,15,5,12,200,2.078
30,20,15,5,15,125,2.318
30,20,15,5,15,150,2.345
30,20,15,5,15,175,2.373
30,20,15,5,15,200,2.392
30,20,15,10,6,125,1.913
30,20,15,10,6,150,1.913
30,20,15,10,6,175,1.913
30,20,15,10,6,200,1.913
30,20,15,10,9,125,1.979
30,20,15,10,9,150,1.979
30,20,15,10,9,175,1.979
30,20,15,10,9,200,1.979
30,20,15,10,12,125,2.131
30,20,15,10,12,150,2.134
30,20,15,10,12,175,2.136
30,20,15,10,12,200,2.138
30,20,15,10,15,125,2.408
30,20,15,10,15,150,2.449
30,20,15,10,15,175,2.481
30,20,15,10,15,200,2.515
30,20,15,15,6,125,1.921
30,20,15,15,6,150,1.921
30,20,15,15,6,175,1.921
30,20,15,15,6,200,1.921
30,20,15,15,9,125,2.011
30,20,15,15,9,150,2.011
30,20,15,15,9,175,2.011
30,20,15,15,9,200,2.011
30,20,15,15,12,125,2.205
30,20,15,15,12,150,2.210
30,20,15,15,12,175,2.215
30,20,15,15,12,200,2.218
30,20,15,15,15,125,2.494
30,20,15,15,15,150,2.543
30,20,15,15,15,175,2.596
30,20,15,15,15,200,2.649
30,20,15,20,6,125,1.939
30,20,15,20,6,150,1.939
30,20,15,20,6,175,1.939
30,20,15,20,6,200,1.939
30,20,15,20,9,125,2.060
30,20,15,20,9,150,2.060
30,20,15,20,9,175,2.060
30,20,15,20,9,200,2.060
30,20,15,20,12,125,2.278
30,20,15,20,12,150,2.296
30,20,15,20,12,175,2.303
30,20,15,20,12,200,2.308
30,20,15,20,15,125,2.573
30,20,15,20,15,150,2.642
30,20,15,20,15,175,2.716
30,20,15,20,15,200,2.786
30,20,25,5,6,125,2.433
30,20,25,5,6,150,2.433
30,20,25,5,6,175,2.433
30,20,25,5,6,200,2.433
30,20,25,5,9,125,2.568
30,20,25,5,9,150,2.569
30,20,25,5,9,175,2.569
30,20,25,5,9,200,2.570
30,20,25,5,12,125,2.825
30,20,25,5,12,150,2.837
30,20,25,5,12,175,2.839
30,20,25,5,12,200,2.84
30,20,25,5,15,125,3.225
30,20,25,5,15,150,3.254
30,20,25,5,15,175,3.254
30,20,25,5,15,200,3.254
30,20,25,10,6,125,2.453
30,20,25,10,6,150,2.453
30,20,25,10,6,175,2.453
30,20,25,10,6,200,2.453
30,20,25,10,9,125,2.639
30,20,25,10,9,150,2.642
30,20,25,10,9,175,2.644
30,20,25,10,9,200,2.645
30,20,25,10,12,125,2.946
30,20,25,10,12,150,2.95
30,20,25,10,12,175,2.954
30,20,25,10,12,200,2.958
30,20,25,10,15,125,3.349
30,20,25,10,15,150,3.349
30,20,25,10,15,175,3.349
30,20,25,10,15,200,3.349
30,20,25,15,6,125,2.493
30,20,25,15,6,150,2.493
30,20,25,15,6,175,2.493
30,20,25,15,6,200,2.493
30,20,25,15,9,125,2.717
30,20,25,15,9,150,2.717
30,20,25,15,9,175,2.717
30,20,25,15,9,200,2.717
30,20,25,15,12,125,3.068
30,20,25,15,12,150,3.090
30,20,25,15,12,175,3.096
30,20,25,15,12,200,3.103
30,20,25,15,15,125,3.434
30,20,25,15,15,150,3.434
30,20,25,15,15,175,3.434
30,20,25,15,15,200,3.434
30,20,25,20,6,125,2.535
30,20,25,20,6,150,2.539
30,20,25,20,6,175,2.54
30,20,25,20,6,200,2.541
30,20,25,20,9,125,2.805
30,20,25,20,9,150,2.813
30,20,25,20,9,175,2.815
30,20,25,20,9,200,2.815
30,20,25,20,12,125,3.19
30,20,25,20,12,150,3.218
30,20,25,20,12,175,3.244
30,20,25,20,12,200,3.263
30,20,25,20,15,125,3.501
30,20,25,20,15,150,3.501
30,20,25,20,15,175,3.501
30,20,25,20,15,200,3.501
30,20,35,5,6,125,3.028
30,20,35,5,6,150,3.031
30,20,35,5,6,175,3.034
30,20,35,5,6,200,3.037
30,20,35,5,9,125,3.303
30,20,35,5,9,150,3.304
30,20,35,5,9,175,3.305
30,20,35,5,9,200,3.305
30,20,35,5,12,125,3.692
30,20,35,5,12,150,3.692
30,20,35,5,12,175,3.692
30,20,35,5,12,200,3.692
30,20,35,5,15,125,3.844
30,20,35,5,15,150,3.844
30,20,35,5,15,175,3.844
30,20,35,5,15,200,3.844
30,20,35,10,6,125,3.091
30,20,35,10,6,150,3.091
30,20,35,10,6,175,3.091
30,20,35,10,6,200,3.091
30,20,35,10,9,125,3.419
30,20,35,10,9,150,3.422
30,20,35,10,9,175,3.426
30,20,35,10,9,200,3.429
30,20,35,10,12,125,3.778
30,20,35,10,12,150,3.778
30,20,35,10,12,175,3.778
30,20,35,10,12,200,3.778
30,20,35,10,15,125,3.943
30,20,35,10,15,150,3.943
30,20,35,10,15,175,3.943
30,20,35,10,15,200,3.943
30,20,35,15,6,125,3.152
30,20,35,15,6,150,3.161
30,20,35,15,6,175,3.162
30,20,35,15,6,200,3.162
30,20,35,15,9,125,3.551
30,20,35,15,9,150,3.551
30,20,35,15,9,175,3.551
30,20,35,15,9,200,3.551
30,20,35,15,12,125,3.847
30,20,35,15,12,150,3.847
30,20,35,15,12,175,3.847
30,20,35,15,12,200,3.847
30,20,35,15,15,125,4.030
30,20,35,15,15,150,4.030
30,20,35,15,15,175,4.030
30,20,35,15,15,200,4.030
30,20,35,20,6,125,3.226
30,20,35,20,6,150,3.232
30,20,35,20,6,175,3.234
30,20,35,20,6,200,3.235
30,20,35,20,9,125,3.673
30,20,35,20,9,150,3.685
30,20,35,20,9,175,3.696
30,20,35,20,9,200,3.699
30,20,35,20,12,125,3.904
30,20,35,20,12,150,3.904
30,20,35,20,12,175,3.904
30,20,35,20,12,200,3.904
30,20,35,20,15,125,3.904
30,20,35,20,15,150,3.904
30,20,35,20,15,175,3.904
30,20,35,20,15,200,3.904
30,20,45,5,6,125,3.777
30,20,45,5,6,150,3.781
30,20,45,5,6,175,3.785
30,20,45,5,6,200,3.789
30,20,45,5,9,125,4.170
30,20,45,5,9,150,4.170
30,20,45,5,9,175,4.170
30,20,45,5,9,200,4.170
30,20,45,5,12,125,4.325
30,20,45,5,12,150,4.325
30,20,45,5,12,175,4.325
30,20,45,5,12,200,4.325
30,20,45,5,15,125,4.473
30,20,45,5,15,150,4.473
30,20,45,5,15,175,4.473
30,20,45,5,15,200,4.473
30,20,45,10,6,125,3.881
30,20,45,10,6,150,3.888
30,20,45,10,6,175,3.895
30,20,45,10,6,200,3.896
30,20,45,10,9,125,4.230
30,20,45,10,9,150,4.230
30,20,45,10,9,175,4.230
30,20,45,10,9,200,4.230
30,20,45,10,12,125,4.407
30,20,45,10,12,150,4.407
30,20,45,10,12,175,4.407
30,20,45,10,12,200,4.407
30,20,45,10,15,125,4.570
30,20,45,10,15,150,4.570
30,20,45,10,15,175,4.570
30,20,45,10,15,200,4.570
30,20,45,15,6,125,3.982
30,20,45,15,6,150,3.991
30,20,45,15,6,175,3.998
30,20,45,15,6,200,4.005
30,20,45,15,9,125,4.284
30,20,45,15,9,150,4.284
30,20,45,15,9,175,4.284
30,20,45,15,9,200,4.284
30,20,45,15,12,125,4.474
30,20,45,15,12,150,4.474
30,20,45,15,12,175,4.474
30,20,45,15,12,200,4.474
30,20,45,15,15,125,4.655
30,20,45,15,15,150,4.655
30,20,45,15,15,175,4.655
30,20,45,15,15,200,4.655
30,20,45,20,6,125,4.101
30,20,45,20,6,150,4.110
30,20,45,20,6,175,4.115
30,20,45,20,6,200,4.115
30,20,45,20,9,125,4.330
30,20,45,20,9,150,4.330
30,20,45,20,9,175,4.330
30,20,45,20,9,200,4.330
30,20,45,20,12,125,4.530
30,20,45,20,12,150,4.530
30,20,45,20,12,175,4.530
30,20,45,20,12,200,4.530
30,20,45,20,15,125,4.725
30,20,45,20,15,150,4.725
30,20,45,20,15,175,4.725
30,20,45,20,15,200,4.725
60,0,5,5,6,125,0.183
60,0,5,5,6,150,0.188
60,0,5,5,6,175,0.190
60,0,5,5,6,200,0.192
60,0,5,5,9,125,0.244
60,0,5,5,9,150,0.256
60,0,5,5,9,175,0.267
60,0,5,5,9,200,0.276
60,0,5,5,12,125,0.303
60,0,5,5,12,150,0.323
60,0,5,5,12,175,0.345
60,0,5,5,12,200,0.369
60,0,5,5,15,125,0.365
60,0,5,5,15,150,0.409
60,0,5,5,15,175,0.464
60,0,5,5,15,200,0.532
60,0,5,10,6,125,0.189
60,0,5,10,6,150,0.196
60,0,5,10,6,175,0.199
60,0,5,10,6,200,0.202
60,0,5,10,9,125,0.250
60,0,5,10,9,150,0.265
60,0,5,10,9,175,0.276
60,0,5,10,9,200,0.286
60,0,5,10,12,125,0.310
60,0,5,10,12,150,0.335
60,0,5,10,12,175,0.355
60,0,5,10,12,200,0.382
60,0,5,10,15,125,0.373
60,0,5,10,15,150,0.420
60,0,5,10,15,175,0.476
60,0,5,10,15,200,0.547
60,0,5,15,6,125,0.193
60,0,5,15,6,150,0.202
60,0,5,15,6,175,0.208
60,0,5,15,6,200,0.211
60,0,5,15,9,125,0.255
60,0,5,15,9,150,0.271
60,0,5,15,9,175,0.284
60,0,5,15,9,200,0.294
60,0,5,15,12,125,0.315
60,0,5,15,12,150,0.339
60,0,5,15,12,175,0.364
60,0,5,15,12,200,0.392
60,0,5,15,15,125,0.380
60,0,5,15,15,150,0.427
60,0,5,15,15,175,0.485
60,0,5,15,15,200,0.556
60,0,5,20,6,125,0.195
60,0,5,20,6,150,0.206
60,0,5,20,6,175,0.214
60,0,5,20,6,200,0.219
60,0,5,20,9,125,0.258
60,0,5,20,9,150,0.275
60,0,5,20,9,175,0.289
60,0,5,20,9,200,0.300
60,0,5,20,12,125,0.317
60,0,5,20,12,150,0.343
60,0,5,20,12,175,0.370
60,0,5,20,12,200,0.399
60,0,5,20,15,125,0.383
60,0,5,20,15,150,0.430
60,0,5,20,15,175,0.487
60,0,5,20,15,200,0.556
60,0,15,5,6,125,0.560
60,0,15,5,6,150,0.574
60,0,15,5,6,175,0.582
60,0,15,5,6,200,0.588
60,0,15,5,9,125,0.748
60,0,15,5,9,150,0.784
60,0,15,5,9,175,0.816
60,0,15,5,9,200,0.844
60,0,15,5,12,125,0.930
60,0,15,5,12,150,0.990
60,0,15,5,12,175,1.057
60,0,15,5,12,200,1.131
60,0,15,5,15,125,1.119
60,0,15,5,15,150,1.255
60,0,15,5,15,175,1.421
60,0,15,5,15,200,1.507
60,0,15,10,6,125,0.578
60,0,15,10,6,150,0.600
60,0,15,10,6,175,0.610
60,0,15,10,6,200,0.619
60,0,15,10,9,125,0.767
60,0,15,10,9,150,0.811
60,0,15,10,9,175,0.845
60,0,15,10,9,200,0.876
60,0,15,10,12,125,0.951
60,0,15,10,12,150,1.037
60,0,15,10,12,175,1.088
60,0,15,10,12,200,1.170
60,0,15,10,15,125,1.144
60,0,15,10,15,150,1.286
60,0,15,10,15,175,1.460
60,0,15,10,15,200,1.552
60,0,15,15,6,125,0.590
60,0,15,15,6,150,0.618
60,0,15,15,6,175,0.636
60,0,15,15,6,200,0.646
60,0,15,15,9,125,0.780
60,0,15,15,9,150,0.830
60,0,15,15,9,175,0.867
60,0,15,15,9,200,0.901
60,0,15,15,12,125,0.963
60,0,15,15,12,150,1.038
60,0,15,15,12,175,1.141
60,0,15,15,12,200,1.202
60,0,15,15,15,125,1.162
60,0,15,15,15,150,1.308
60,0,15,15,15,175,1.485
60,0,15,15,15,200,1.571
60,0,15,20,6,125,0.597
60,0,15,20,6,150,0.630
60,0,15,20,6,175,0.654
60,0,15,20,6,200,0.669
60,0,15,20,9,125,0.789
60,0,15,20,9,150,0.841
60,0,15,20,9,175,0.884
60,0,15,20,9,200,0.920
60,0,15,20,12,125,0.970
60,0,15,20,12,150,1.052
60,0,15,20,12,175,1.132
60,0,15,20,12,200,1.221
60,0,15,20,15,125,1.172
60,0,15,20,15,150,1.317
60,0,15,20,15,175,1.491
