Slope_Angle,Cohesion,Friction_Angle,Nail_Inclination,Nail_Length,Drillhole_Diameter,Factor_of_Safety
30,0,25,15,12,200,1.778
30,0,25,15,15,125,1.960
30,0,25,15,15,150,1.960
30,0,25,15,15,175,1.960
30,0,25,15,15,200,1.960
30,0,25,20,6,125,1.356
30,0,25,20,6,150,1.366
30,0,25,20,6,175,1.369
30,0,25,20,6,200,1.372
30,0,25,20,9,125,1.632
30,0,25,20,9,150,1.632
30,0,25,20,9,175,1.632
30,0,25,20,9,200,1.632
30,0,25,20,12,125,1.831
30,0,25,20,12,150,1.831
30,0,25,20,12,175,1.831
30,0,25,20,12,200,1.831
30,0,25,20,15,125,2.025
30,0,25,20,15,150,2.025
30,0,25,20,15,175,2.025
30,0,25,20,15,200,2.025
30,0,35,5,6,125,1.727
30,0,35,5,6,150,1.727
30,0,35,5,6,175,1.728
30,0,35,5,6,200,1.728
30,0,35,5,9,125,2.135
30,0,35,5,9,150,2.137
30,0,35,5,9,175,2.139
30,0,35,5,9,200,2.141
30,0,35,5,12,125,2.651
30,0,35,5,12,150,2.711
30,0,35,5,12,175,2.752
30,0,35,5,12,200,2.788
30,0,35,5,15,125,3.235
30,0,35,5,15,150,3.381
30,0,35,5,15,175,3.513
30,0,35,5,15,200,3.533
30,0,35,10,6,125,1.831
30,0,35,10,6,150,1.833
30,0,35,10,6,175,1.835
30,0,35,10,6,200,1.837
30,0,35,10,9,125,2.293
30,0,35,10,9,150,2.304
30,0,35,10,9,175,2.313
30,0,35,10,9,200,2.322
30,0,35,10,12,125,2.837
30,0,35,10,12,150,2.909
30,0,35,10,12,175,2.976
30,0,35,10,12,200,3.021
30,0,35,10,15,125,3.424
30,0,35,10,15,150,3.593
30,0,35,10,15,175,3.618
30,0,35,10,15,200,3.618
30,0,35,15,6,125,1.935
30,0,35,15,6,150,1.939
30,0,35,15,6,175,1.943
30,0,35,15,6,200,1.947
30,0,35,15,9,125,2.446
30,0,35,15,9,150,2.460
30,0,35,15,9,175,2.473
30,0,35,15,9,200,2.486
30,0,35,15,12,125,2.993
30,0,35,15,12,150,3.093
30,0,35,15,12,175,3.167
30,0,35,15,12,200,3.237
30,0,35,15,15,125,3.587
30,0,35,15,15,150,3.678
30,0,35,15,15,175,3.678
30,0,35,15,15,200,3.678
30,0,35,20,6,125,2.036
30,0,35,20,6,150,2.051
30,0,35,20,6,175,2.056
30,0,35,20,6,200,2.061
30,0,35,20,9,125,2.576
30,0,35,20,9,150,2.614
30,0,35,20,9,175,2.631
30,0,35,20,9,200,2.645
30,0,35,20,12,125,3.132
30,0,35,20,12,150,3.246
30,0,35,20,12,175,3.300
30,0,35,20,12,200,3.300
30,0,35,20,15,125,3.708
30,0,35,20,15,150,3.708
30,0,35,20,15,175,3.708
30,0,35,20,15,200,3.708
30,0,45,5,6,125,2.466
30,0,45,5,6,150,2.466
30,0,45,5,6,175,2.467
30,0,45,5,6,200,2.468
30,0,45,5,9,125,3.049
30,0,45,5,9,150,3.053
30,0,45,5,9,175,3.056
30,0,45,5,9,200,3.058
30,0,45,5,12,125,3.702
30,0,45,5,12,150,3.702
30,0,45,5,12,175,3.702
30,0,45,5,12,200,3.702
30,0,45,5,15,125,4.069
30,0,45,5,15,150,4.069
30,0,45,5,15,175,4.069
30,0,45,5,15,200,4.069
30,0,45,10,6,125,2.616
30,0,45,10,6,150,2.618
30,0,45,10,6,175,2.621
30,0,45,10,6,200,2.624
30,0,45,10,9,125,3.275
30,0,45,10,9,150,3.290
30,0,45,10,9,175,3.304
30,0,45,10,9,200,3.316
30,0,45,10,12,125,3.770
30,0,45,10,12,150,3.770
30,0,45,10,12,175,3.770
30,0,45,10,12,200,3.770
30,0,45,10,15,125,4.150
30,0,45,10,15,150,4.150
30,0,45,10,15,175,4.150
30,0,45,10,15,200,4.150
30,0,45,15,6,125,2.764
30,0,45,15,6,150,2.769
30,0,45,15,6,175,2.775
30,0,45,15,6,200,2.780
30,0,45,15,9,125,3.404
30,0,45,15,9,150,3.404
30,0,45,15,9,175,3.404
30,0,45,15,9,200,3.404
30,0,45,15,12,125,3.814
30,0,45,15,12,150,3.814
30,0,45,15,12,175,3.814
30,0,45,15,12,200,3.814
30,0,45,15,15,125,4.204
30,0,45,15,15,150,4.204
30,0,45,15,15,175,4.204
30,0,45,15,15,200,4.204
30,0,45,20,6,125,2.908
30,0,45,20,6,150,2.929
30,0,45,20,6,175,2.936
30,0,45,20,6,200,2.943
30,0,45,20,9,125,3.416
30,0,45,20,9,150,3.416
30,0,45,20,9,175,3.416
30,0,45,20,9,200,3.416
30,0,45,20,12,125,3.832
30,0,45,20,12,150,3.832
30,0,45,20,12,175,3.832
30,0,45,20,12,200,3.832
30,0,45,20,15,125,4.226
30,0,45,20,15,150,4.226
30,0,45,20,15,175,4.226
30,0,45,20,15,200,4.226
30,5,5,5,6,125,0.533
30,5,5,5,6,150,0.533
30,5,5,5,6,175,0.533
30,5,5,5,6,200,0.533
30,5,5,5,9,125,0.553
30,5,5,5,9,150,0.554
30,5,5,5,9,175,0.554
30,5,5,5,9,200,0.554
30,5,5,5,12,125,0.610
30,5,5,5,12,150,0.614
30,5,5,5,12,175,0.617
30,5,5,5,12,200,0.621
30,5,5,5,15,125,0.705
30,5,5,5,15,150,0.725
30,5,5,5,15,175,0.740
30,5,5,5,15,200,0.755
30,5,5,10,6,125,0.534
30,5,5,10,6,150,0.534
30,5,5,10,6,175,0.534
30,5,5,10,6,200,0.534
30,5,5,10,9,125,0.563
30,5,5,10,9,150,0.563
30,5,5,10,9,175,0.563
30,5,5,10,9,200,0.563
30,5,5,10,12,125,0.637
30,5,5,10,12,150,0.643
30,5,5,10,12,175,0.648
30,5,5,10,12,200,0.652
30,5,5,10,15,125,0.732
30,5,5,10,15,150,0.752
30,5,5,10,15,175,0.772
30,5,5,10,15,200,0.790
30,5,5,15,6,125,0.538
30,5,5,15,6,150,0.538
30,5,5,15,6,175,0.538
30,5,5,15,6,200,0.538
30,5,5,15,9,125,0.575
30,5,5,15,9,150,0.575
30,5,5,15,9,175,0.575
30,5,5,15,9,200,0.575
30,5,5,15,12,125,0.660
30,5,5,15,12,150,0.669
30,5,5,15,12,175,0.677
30,5,5,15,12,200,0.682
30,5,5,15,15,125,0.754
30,5,5,15,15,150,0.779
30,5,5,15,15,175,0.803
